,gdp-1,gdp-0
2012-12-12,0.311704081028256,0.6613278222681505
2013-01-30,0.311704081028256,0.7676126508469572
2013-03-20,0.7676126508469572,0.031496062992120655
2013-05-01,0.09448818897637529,0.6198135436942989
2013-06-19,0.09448818897637529,0.591274313229039
2013-07-31,0.09448818897637529,0.4412604095013764
2013-09-18,0.4412604095013764,0.6230789468618276
2013-10-30,0.4412604095013764,0.6147370042158965
2013-12-18,0.6147370042158965,0.8884098547803803
2014-01-29,0.6147370042158965,1.017876617537316
2014-03-19,1.017876617537316,0.590935205469941
2014-04-30,1.017876617537316,0.6502812624295266
2014-06-18,0.6502812624295266,-0.2471412531441488
2014-07-30,0.6502812624295266,-0.7407964973686265
2014-09-17,-0.7407964973686265,1.027053317079016
2014-10-29,-0.7407964973686265,1.128748018216609
