,price-1,price-0
2013-01-30,0.38566243194191774,0.6579747935680182
2013-03-20,0.6579747935680182,0.22105744903157862
2013-05-01,0.24005457355772242,0.29116595598053846
2013-06-19,0.24005457355772242,0.2851358918034225
2013-07-31,0.24005457355772242,0.30581039755352024
2013-09-18,0.30581039755352024,0.187746476215633
2013-10-30,0.30581039755352024,0.1613298865973607
2013-12-18,0.1613298865973607,0.4860358875335479
2014-01-29,0.1613298865973607,0.48980360759195213
2014-03-19,0.48980360759195213,0.39180765805876383
2014-04-30,0.48980360759195213,0.38805830247926276
2014-06-18,0.38805830247926276,0.32026442823928264
2014-07-30,0.38805830247926276,0.31652956610238997
2014-09-17,0.31652956610238997,0.5292773970694682
2014-10-29,0.31652956610238997,0.5264917265585761
2014-12-17,0.5264917265585761,0.3556220614995291
2015-01-28,0.5264917265585761,0.35285098050083136
2015-03-18,0.35285098050083136,0.029454267647245083
2015-04-29,0.35285098050083136,0.03497694283110435
2015-06-17,0.03497694283110435,-0.019322604687112555
2015-07-29,0.03497694283110435,-0.003680496130869865
2015-09-17,-0.003680496130869865,0.5013197448493395
2015-10-28,-0.003680496130869865,0.5013197448493395
2015-12-16,0.5013197448493395,0.33094771390800887
2016-01-27,0.5013197448493395,0.32821260883438885
2016-03-16,0.32821260883438885,0.2226361942841606
2016-04-27,0.32821260883438885,0.21991003680313
2016-06-15,0.21991003680313,0.15777018143570173
2016-07-27,0.21991003680313,0.10427339577646948
2016-09-21,0.10427339577646948,0.5730555430017629
2016-11-02,0.5721516699055412,0.37566955458892615
2016-12-14,0.5721516699055412,0.34870762483373946
2017-02-01,0.3541000107847768,0.5203202521896337
2017-03-15,0.3541000107847768,0.49614013719975264
2017-05-03,0.5158424531174378,0.5613072221529211
2017-06-14,0.5158424531174378,0.5532885475507361
2017-07-26,0.5158424531174378,0.4829024038204544
2017-09-20,0.4829024038204544,0.2412374059883688
2017-11-01,0.2527671349510526,0.5387616444173099
2017-12-13,0.2527671349510526,0.5307996496722261
2018-01-31,0.5210683227615723,0.5852533751078028
2018-03-21,0.5210683227615723,0.5773326527379224
2018-05-02,0.5799728935278825,0.49175307345670705
2018-06-13,0.5799728935278825,0.4821280133000848
2018-08-01,0.5442534015837598,0.7508139152064948
2018-09-26,0.5442534015837598,0.7407542890587868
2018-11-08,0.7535574496104164,0.4148059398032239
2018-12-19,0.7535574496104164,0.42842101441383335
2019-01-30,0.7535574496104164,0.45111280543150706
2019-03-20,0.45111280543150706,0.44456893981151396
2019-05-01,0.42017186384624733,0.21865495707883725
2019-06-19,0.42017186384624733,0.18986088865693534
2019-07-31,0.2249536595461335,0.5865260439087354
2019-09-18,0.2249536595461335,0.5874228727220558
2019-10-04,0.2249536595461335,0.5999784761084777
2019-10-30,0.2249536595461335,0.5999784761084777
2019-12-11,0.5999784761084777,0.44663154234976754
2020-01-29,0.5999784761084777,0.4510889429720166
2020-03-03,0.4510889429720166,0.314166792392548
2020-03-15,0.4510889429720166,0.314166792392548
2020-04-29,0.4510889429720166,0.3168292228365528
2020-06-10,0.3168292228365528,0.3414841289500652
2020-07-29,0.3168292228365528,0.3485615202236504
2020-09-16,0.3485615202236504,-0.5044981478214752
